trade_id,strategy,date,time,pair,direction,result,rr,duration,sl_size,exit_reason
365,EMA-Cross-H4F,27/03/2024,10:30,BTC,Long,SL,-1.0,3h,720.0,STRUCTURAL_SL
366,EMA-Cross-H4F,28/03/2024,07:30,BTC,Long,SL,-1.0,32h,717.0,STRUCTURAL_SL
367,EMA-Cross-H4F,30/03/2024,10:30,BTC,Long,SL,-1.0,8h,217.0,STRUCTURAL_SL
368,EMA-Cross-H4F,31/03/2024,05:30,BTC,Long,SL,-1.0,24h,454.0,STRUCTURAL_SL
369,EMA-Cross-H4F,10/04/2024,21:00,BTC,Long,SL,-0.31,18h,729.0,H1_EMA100
370,EMA-Cross-H4F,07/05/2024,09:30,BTC,Long,SL,-1.0,2h,687.0,STRUCTURAL_SL
371,EMA-Cross-H4F,07/05/2024,15:30,BTC,Long,SL,-1.0,3h,802.0,STRUCTURAL_SL
372,EMA-Cross-H4F,17/05/2024,03:00,BTC,Long,TP,3.15,65h,208.0,H1_EMA100
373,EMA-Cross-H4F,20/05/2024,09:00,BTC,Long,TP,2.57,77h,477.0,H1_EMA100
374,EMA-Cross-H4F,24/05/2024,18:30,BTC,Long,SL,-0.24,46h,1138.0,H1_EMA100
375,EMA-Cross-H4F,27/05/2024,15:30,BTC,Long,SL,-0.77,10h,1481.0,H1_EMA100
376,EMA-Cross-H4F,29/05/2024,03:30,BTC,Long,SL,-0.39,2h,451.0,H1_EMA100
377,EMA-Cross-H4F,31/05/2024,13:00,BTC,Long,SL,-1.0,0h,371.0,STRUCTURAL_SL
378,EMA-Cross-H4F,07/06/2024,05:30,BTC,Long,SL,-1.0,7h,641.0,STRUCTURAL_SL
379,EMA-Cross-H4F,10/06/2024,16:00,BTC,Long,SL,-0.69,4h,852.0,H1_EMA100
380,EMA-Cross-H4F,18/07/2024,08:30,BTC,Long,SL,-1.0,1h,154.0,STRUCTURAL_SL
381,EMA-Cross-H4F,19/07/2024,14:00,BTC,Long,TP,1.17,88h,1096.0,H1_EMA100
382,EMA-Cross-H4F,25/07/2024,22:30,BTC,Long,TP,0.76,90h,1426.0,H1_EMA100
383,EMA-Cross-H4F,31/07/2024,18:00,BTC,Long,SL,-1.0,0h,375.0,STRUCTURAL_SL
384,EMA-Cross-H4F,21/08/2024,17:00,BTC,Long,TP,6.21,126h,501.0,H1_EMA100
385,EMA-Cross-H4F,17/09/2024,09:30,BTC,Long,TP,51.41,200h,86.0,H1_EMA100
386,EMA-Cross-H4F,26/09/2024,09:00,BTC,Long,TP,2.84,89h,387.0,H1_EMA100
387,EMA-Cross-H4F,14/10/2024,03:30,BTC,Long,TP,4.73,178h,843.0,H1_EMA100
388,EMA-Cross-H4F,24/10/2024,02:30,BTC,Long,SL,-0.19,1h,864.0,H1_EMA100
389,EMA-Cross-H4F,09/11/2024,22:00,BTC,Long,TP,56.64,192h,224.0,H1_EMA100
390,EMA-Cross-H4F,18/11/2024,06:30,BTC,Long,SL,-1.0,5h,360.0,STRUCTURAL_SL
391,EMA-Cross-H4F,25/11/2024,05:00,BTC,Long,SL,-1.0,8h,536.0,STRUCTURAL_SL
392,EMA-Cross-H4F,28/11/2024,23:00,BTC,Long,TP,0.52,51h,950.0,H1_EMA100
393,EMA-Cross-H4F,01/12/2024,10:00,BTC,Long,SL,-0.74,18h,721.0,H1_EMA100
394,EMA-Cross-H4F,03/12/2024,23:00,BTC,Long,SL,-0.58,1h,415.0,H1_EMA100
395,EMA-Cross-H4F,04/12/2024,20:00,BTC,Long,SL,-1.0,26h,2720.0,STRUCTURAL_SL
396,EMA-Cross-H4F,06/12/2024,18:00,BTC,Long,SL,-0.95,39h,2044.0,H1_EMA100
397,EMA-Cross-H4F,08/12/2024,14:00,BTC,Long,SL,-0.71,13h,1711.0,H1_EMA100
