trade_id,strategy,date,time,pair,direction,result,rr,duration,sl_size,exit_reason
55,EMA-Cross-H4F,23/12/2018,00:00,BTC,Long,SL,-1.0,48h,129.91,STRUCTURAL_SL
56,EMA-Cross-H4F,30/12/2018,17:30,BTC,Long,SL,-1.0,2h,39.68,STRUCTURAL_SL
57,EMA-Cross-H4F,05/01/2019,00:00,BTC,Long,SL,-1.0,10h,11.58,STRUCTURAL_SL
58,EMA-Cross-H4F,06/01/2019,13:00,BTC,Long,SL,-1.0,89h,20.19,STRUCTURAL_SL
59,EMA-Cross-H4F,10/02/2019,21:00,BTC,Long,SL,-1.0,19h,23.84,STRUCTURAL_SL
60,EMA-Cross-H4F,11/02/2019,19:30,BTC,Long,SL,-1.0,2h,10.28,STRUCTURAL_SL
61,EMA-Cross-H4F,12/02/2019,19:30,BTC,Long,SL,-1.0,2h,15.77,STRUCTURAL_SL
62,EMA-Cross-H4F,15/02/2019,05:00,BTC,Long,SL,-0.81,5h,19.63,H1_EMA100
63,EMA-Cross-H4F,16/02/2019,03:00,BTC,Long,TP,0.12,34h,7.32,H1_EMA100
64,EMA-Cross-H4F,17/02/2019,23:00,BTC,Long,TP,8.27,160h,17.98,H1_EMA100
65,EMA-Cross-H4F,03/03/2019,02:30,BTC,Long,SL,-0.18,1h,13.8,H1_EMA100
66,EMA-Cross-H4F,09/03/2019,07:30,BTC,Long,SL,-1.0,46h,52.12,STRUCTURAL_SL
67,EMA-Cross-H4F,12/03/2019,13:30,BTC,Long,SL,-1.0,2h,9.94,STRUCTURAL_SL
68,EMA-Cross-H4F,13/03/2019,04:00,BTC,Long,SL,-0.53,1h,12.89,H1_EMA100
69,EMA-Cross-H4F,14/03/2019,16:30,BTC,Long,SL,-0.09,2h,70.57,H1_EMA100
70,EMA-Cross-H4F,17/03/2019,13:30,BTC,Long,SL,-1.0,16h,17.77,STRUCTURAL_SL
71,EMA-Cross-H4F,19/03/2019,00:30,BTC,Long,SL,-1.0,3h,9.07,STRUCTURAL_SL
72,EMA-Cross-H4F,19/03/2019,10:30,BTC,Long,SL,-1.0,52h,18.49,STRUCTURAL_SL
73,EMA-Cross-H4F,22/03/2019,19:30,BTC,Long,SL,-1.0,0h,7.48,STRUCTURAL_SL
74,EMA-Cross-H4F,23/03/2019,03:30,BTC,Long,SL,-1.0,6h,14.24,STRUCTURAL_SL
75,EMA-Cross-H4F,23/03/2019,16:00,BTC,Long,SL,-0.55,1h,20.0,H1_EMA100
76,EMA-Cross-H4F,24/03/2019,00:00,BTC,Long,SL,-1.0,1h,13.0,STRUCTURAL_SL
77,EMA-Cross-H4F,25/03/2019,04:00,BTC,Long,SL,-1.0,0h,7.57,STRUCTURAL_SL
78,EMA-Cross-H4F,27/03/2019,01:30,BTC,Long,TP,26.55,362h,43.83,H1_EMA100
79,EMA-Cross-H4F,13/04/2019,15:00,BTC,Long,SL,-0.32,1h,39.0,H1_EMA100
80,EMA-Cross-H4F,14/04/2019,14:30,BTC,Long,TP,0.55,1h,18.0,H1_EMA100
81,EMA-Cross-H4F,16/04/2019,17:30,BTC,Long,TP,0.57,112h,94.2,H1_EMA100
82,EMA-Cross-H4F,22/04/2019,10:00,BTC,Long,TP,4.21,49h,26.4,H1_EMA100
83,EMA-Cross-H4F,25/04/2019,17:00,BTC,Long,SL,-1.0,4h,32.28,STRUCTURAL_SL
84,EMA-Cross-H4F,27/04/2019,20:00,BTC,Long,TP,0.05,1h,31.1,H1_EMA100
85,EMA-Cross-H4F,29/04/2019,02:00,BTC,Long,TP,0.11,1h,21.94,H1_EMA100
86,EMA-Cross-H4F,30/04/2019,13:30,BTC,Long,SL,-0.35,4h,55.33,H1_EMA100
87,EMA-Cross-H4F,04/05/2019,23:00,BTC,Long,SL,-1.0,1h,75.45,STRUCTURAL_SL
88,EMA-Cross-H4F,05/05/2019,20:30,BTC,Long,SL,-1.0,4h,38.99,STRUCTURAL_SL
89,EMA-Cross-H4F,06/05/2019,18:30,BTC,Long,TP,28.81,248h,59.69,H1_EMA100
90,EMA-Cross-H4F,20/05/2019,22:30,BTC,Long,SL,-1.0,13h,222.44,STRUCTURAL_SL
91,EMA-Cross-H4F,23/05/2019,20:00,BTC,Long,TP,2.6,64h,57.16,H1_EMA100
92,EMA-Cross-H4F,26/05/2019,19:30,BTC,Long,TP,1.48,97h,203.76,H1_EMA100
93,EMA-Cross-H4F,31/05/2019,21:30,BTC,Long,SL,-0.48,8h,108.24,H1_EMA100
94,EMA-Cross-H4F,19/06/2019,06:30,BTC,Long,SL,-1.0,0h,27.79,STRUCTURAL_SL
95,EMA-Cross-H4F,19/06/2019,22:00,BTC,Long,TP,19.42,187h,96.42,H1_EMA100
96,EMA-Cross-H4F,28/06/2019,12:00,BTC,Long,SL,-1.0,0h,314.35,STRUCTURAL_SL
97,EMA-Cross-H4F,29/06/2019,13:30,BTC,Long,SL,-1.0,2h,264.69,STRUCTURAL_SL
98,EMA-Cross-H4F,02/07/2019,19:00,BTC,Long,TP,0.2,1h,301.52,H1_EMA100
99,EMA-Cross-H4F,06/07/2019,04:00,BTC,Long,SL,-1.0,4h,165.34,STRUCTURAL_SL
100,EMA-Cross-H4F,07/07/2019,15:00,BTC,Long,SL,-1.0,0h,74.57,STRUCTURAL_SL
101,EMA-Cross-H4F,07/07/2019,18:30,BTC,Long,TP,2.29,73h,288.83,H1_EMA100
102,EMA-Cross-H4F,04/08/2019,16:00,BTC,Long,TP,1.46,140h,308.21,H1_EMA100
103,EMA-Cross-H4F,11/08/2019,23:00,BTC,Long,SL,-1.0,0h,33.8,STRUCTURAL_SL
104,EMA-Cross-H4F,04/09/2019,17:30,BTC,Long,SL,-1.0,48h,228.89,STRUCTURAL_SL
105,EMA-Cross-H4F,07/09/2019,21:30,BTC,Long,SL,-1.0,13h,60.12,STRUCTURAL_SL
106,EMA-Cross-H4F,16/09/2019,02:00,BTC,Long,SL,-1.0,2h,42.19,STRUCTURAL_SL
107,EMA-Cross-H4F,29/10/2019,10:30,BTC,Long,SL,-1.0,2h,96.66,STRUCTURAL_SL
108,EMA-Cross-H4F,29/10/2019,23:30,BTC,Long,SL,-1.0,0h,25.44,STRUCTURAL_SL
109,EMA-Cross-H4F,31/10/2019,14:00,BTC,Long,SL,-0.44,8h,377.5,H1_EMA100
110,EMA-Cross-H4F,01/11/2019,18:30,BTC,Long,SL,-0.25,40h,110.23,H1_EMA100
111,EMA-Cross-H4F,04/11/2019,12:00,BTC,Long,SL,-0.3,20h,116.52,H1_EMA100
112,EMA-Cross-H4F,05/11/2019,15:30,BTC,Long,SL,-0.45,39h,126.73,H1_EMA100
113,EMA-Cross-H4F,06/01/2020,02:30,BTC,Long,TP,2.11,86h,144.56,H1_EMA100
114,EMA-Cross-H4F,10/01/2020,15:30,BTC,Long,TP,3.53,212h,183.68,H1_EMA100
115,EMA-Cross-H4F,21/01/2020,21:30,BTC,Long,SL,-0.3,11h,271.07,H1_EMA100
116,EMA-Cross-H4F,24/01/2020,16:00,BTC,Long,SL,-0.73,1h,66.89,H1_EMA100
117,EMA-Cross-H4F,01/02/2020,02:30,BTC,Long,SL,-1.0,8h,96.06,STRUCTURAL_SL
118,EMA-Cross-H4F,01/02/2020,18:30,BTC,Long,SL,-1.0,6h,69.13,STRUCTURAL_SL
119,EMA-Cross-H4F,02/02/2020,11:00,BTC,Long,SL,-1.0,12h,70.94,STRUCTURAL_SL
120,EMA-Cross-H4F,05/02/2020,07:00,BTC,Long,TP,0.22,1h,34.97,H1_EMA100
121,EMA-Cross-H4F,08/02/2020,09:00,BTC,Long,SL,-1.0,4h,50.28,STRUCTURAL_SL
122,EMA-Cross-H4F,11/02/2020,16:00,BTC,Long,SL,-0.13,64h,318.0,H1_EMA100
123,EMA-Cross-H4F,14/02/2020,14:30,BTC,Long,SL,-1.0,0h,71.27,STRUCTURAL_SL
124,EMA-Cross-H4F,18/02/2020,16:30,BTC,Long,SL,-1.0,29h,274.02,STRUCTURAL_SL
125,EMA-Cross-H4F,26/03/2020,20:30,BTC,Long,SL,-1.0,8h,65.95,STRUCTURAL_SL
126,EMA-Cross-H4F,04/04/2020,11:00,BTC,Long,SL,-1.0,0h,132.37,STRUCTURAL_SL
127,EMA-Cross-H4F,04/04/2020,19:00,BTC,Long,SL,-1.0,22h,59.95,STRUCTURAL_SL
128,EMA-Cross-H4F,06/04/2020,01:00,BTC,Long,TP,3.04,99h,101.59,H1_EMA100
129,EMA-Cross-H4F,12/04/2020,13:30,BTC,Long,TP,0.84,1h,79.98,H1_EMA100
130,EMA-Cross-H4F,13/04/2020,23:30,BTC,Long,SL,-0.26,1h,51.62,H1_EMA100
131,EMA-Cross-H4F,20/04/2020,04:00,BTC,Long,SL,-1.0,4h,15.77,STRUCTURAL_SL
