trade_id,strategy,date,time,pair,direction,result,rr,duration,sl_size,exit_reason
410,EMA-Cross-H4F,26/01/2025,13:30,BTC,Long,SL,-1.0,8h,219.41,STRUCTURAL_SL
411,EMA-Cross-H4F,31/01/2025,15:30,BTC,Long,SL,-1.0,2h,1060.24,STRUCTURAL_SL
412,EMA-Cross-H4F,07/03/2025,15:00,BTC,Long,SL,-1.0,0h,1785.4,STRUCTURAL_SL
413,EMA-Cross-H4F,22/03/2025,07:00,BTC,Long,SL,-1.0,1h,182.62,STRUCTURAL_SL
414,EMA-Cross-H4F,23/03/2025,08:00,BTC,Long,TP,10.97,81h,203.74,H1_EMA100
415,EMA-Cross-H4F,27/03/2025,04:30,BTC,Long,SL,-1.0,0h,146.08,STRUCTURAL_SL
416,EMA-Cross-H4F,27/03/2025,22:30,BTC,Long,SL,-1.0,2h,440.9,STRUCTURAL_SL
417,EMA-Cross-H4F,14/04/2025,03:30,BTC,Long,SL,-1.0,12h,637.63,STRUCTURAL_SL
418,EMA-Cross-H4F,16/04/2025,16:30,BTC,Long,SL,-1.0,1h,1332.52,STRUCTURAL_SL
419,EMA-Cross-H4F,17/04/2025,06:30,BTC,Long,SL,-1.0,8h,704.0,STRUCTURAL_SL
420,EMA-Cross-H4F,19/04/2025,04:00,BTC,Long,SL,-0.6,29h,394.87,H1_EMA100
421,EMA-Cross-H4F,21/04/2025,00:00,BTC,Long,TP,16.17,169h,509.51,H1_EMA100
422,EMA-Cross-H4F,28/04/2025,07:30,BTC,Long,SL,-1.0,6h,703.58,STRUCTURAL_SL
423,EMA-Cross-H4F,28/04/2025,20:00,BTC,Long,SL,-0.62,27h,999.12,H1_EMA100
424,EMA-Cross-H4F,30/04/2025,05:30,BTC,Long,SL,-1.0,7h,513.41,STRUCTURAL_SL
425,EMA-Cross-H4F,01/05/2025,03:30,BTC,Long,TP,1.52,68h,684.7,H1_EMA100
426,EMA-Cross-H4F,06/05/2025,19:00,BTC,Long,SL,-0.67,2h,572.1,H1_EMA100
427,EMA-Cross-H4F,13/05/2025,12:00,BTC,Long,SL,-0.59,38h,1189.02,H1_EMA100
428,EMA-Cross-H4F,15/05/2025,18:30,BTC,Long,SL,-1.0,0h,465.52,STRUCTURAL_SL
429,EMA-Cross-H4F,15/05/2025,20:00,BTC,Long,SL,-0.54,30h,604.91,H1_EMA100
430,EMA-Cross-H4F,18/05/2025,05:30,BTC,Long,TP,0.52,22h,305.42,H1_EMA100
431,EMA-Cross-H4F,19/05/2025,17:00,BTC,Long,TP,0.95,92h,3230.27,H1_EMA100
432,EMA-Cross-H4F,24/05/2025,20:00,BTC,Long,SL,-1.0,1h,178.46,STRUCTURAL_SL
433,EMA-Cross-H4F,26/05/2025,00:00,BTC,Long,SL,-0.34,26h,1828.2,H1_EMA100
434,EMA-Cross-H4F,27/05/2025,09:00,BTC,Long,SL,-1.0,5h,869.58,STRUCTURAL_SL
435,EMA-Cross-H4F,29/05/2025,11:00,BTC,Long,SL,-1.0,1h,364.25,STRUCTURAL_SL
436,EMA-Cross-H4F,09/06/2025,09:30,BTC,Long,TP,2.52,66h,678.3,H1_EMA100
437,EMA-Cross-H4F,28/06/2025,04:00,BTC,Long,SL,-1.0,58h,219.86,STRUCTURAL_SL
438,EMA-Cross-H4F,02/07/2025,08:30,BTC,Long,TP,0.44,53h,778.05,H1_EMA100
439,EMA-Cross-H4F,06/07/2025,14:00,BTC,Long,SL,-0.44,23h,972.17,H1_EMA100
440,EMA-Cross-H4F,08/07/2025,11:00,BTC,Long,SL,-0.76,4h,603.63,H1_EMA100
441,EMA-Cross-H4F,13/07/2025,02:00,BTC,Long,SL,-1.0,49h,328.58,STRUCTURAL_SL
442,EMA-Cross-H4F,16/07/2025,08:00,BTC,Long,SL,-0.17,28h,1171.95,H1_EMA100
443,EMA-Cross-H4F,17/07/2025,18:00,BTC,Long,SL,-1.0,20h,927.91,STRUCTURAL_SL
444,EMA-Cross-H4F,20/07/2025,14:00,BTC,Long,SL,-0.57,4h,694.12,H1_EMA100
445,EMA-Cross-H4F,21/07/2025,06:00,BTC,Long,SL,-1.0,5h,241.27,STRUCTURAL_SL
446,EMA-Cross-H4F,22/07/2025,10:30,BTC,Long,SL,-1.0,3h,649.65,STRUCTURAL_SL
447,EMA-Cross-H4F,24/07/2025,01:30,BTC,Long,SL,-1.0,2h,539.17,STRUCTURAL_SL
448,EMA-Cross-H4F,24/07/2025,13:00,BTC,Long,SL,-0.53,1h,575.84,H1_EMA100
449,EMA-Cross-H4F,24/07/2025,15:00,BTC,Long,SL,-0.63,8h,1224.8,H1_EMA100
450,EMA-Cross-H4F,29/07/2025,07:00,BTC,Long,SL,-1.0,3h,348.2,STRUCTURAL_SL
451,EMA-Cross-H4F,30/07/2025,09:30,BTC,Long,SL,-1.0,1h,210.0,STRUCTURAL_SL
452,EMA-Cross-H4F,09/08/2025,05:30,BTC,Long,SL,-1.0,15h,579.65,STRUCTURAL_SL
453,EMA-Cross-H4F,10/08/2025,03:30,BTC,Long,TP,0.28,105h,1822.98,H1_EMA100
454,EMA-Cross-H4F,05/09/2025,20:00,BTC,Long,SL,-0.72,2h,1407.58,H1_EMA100
455,EMA-Cross-H4F,10/09/2025,08:30,BTC,Long,TP,1.57,120h,1307.19,H1_EMA100
456,EMA-Cross-H4F,16/09/2025,05:30,BTC,Long,SL,-1.0,8h,808.19,STRUCTURAL_SL
457,EMA-Cross-H4F,16/09/2025,16:00,BTC,Long,SL,-0.33,23h,895.22,H1_EMA100
458,EMA-Cross-H4F,18/09/2025,01:30,BTC,Long,SL,-0.35,34h,464.93,H1_EMA100
459,EMA-Cross-H4F,30/09/2025,19:00,BTC,Long,TP,9.85,164h,914.55,H1_EMA100
460,EMA-Cross-H4F,08/10/2025,17:30,BTC,Long,SL,-0.68,8h,1838.02,H1_EMA100
461,EMA-Cross-H4F,28/10/2025,14:00,BTC,Long,SL,-1.0,5h,1384.85,STRUCTURAL_SL
462,EMA-Cross-H4F,30/11/2025,05:00,BTC,Long,SL,-1.0,18h,386.99,STRUCTURAL_SL
463,EMA-Cross-H4F,09/12/2025,16:00,BTC,Long,SL,-0.49,33h,2702.77,H1_EMA100
464,EMA-Cross-H4F,11/12/2025,22:00,BTC,Long,SL,-1.0,17h,2099.97,STRUCTURAL_SL
