trade_id,strategy,date,time,pair,direction,result,rr,duration,sl_size,exit_reason
1,EMA-Cross,10/08/2017,07:00,BTC,Long,TP,21.38,127h,28.46,H1_EMA100
2,EMA-Cross,16/08/2017,15:30,BTC,Long,SL,-0.56,50h,212.86,H1_EMA100
3,EMA-Cross,20/08/2017,09:00,BTC,Long,SL,-0.19,1h,77.53,H1_EMA100
4,EMA-Cross,22/08/2017,18:30,BTC,Long,TP,0.7,129h,223.49,H1_EMA100
5,EMA-Cross,28/08/2017,17:30,BTC,Long,TP,6.2,108h,51.39,H1_EMA100
6,EMA-Cross,10/09/2017,20:30,BTC,Long,SL,-1.0,0h,8.41,STRUCTURAL_SL
7,EMA-Cross,11/09/2017,16:00,BTC,Long,TP,0.32,1h,67.32,H1_EMA100
8,EMA-Cross,15/09/2017,17:00,BTC,Long,SL,-1.0,0h,61.32,STRUCTURAL_SL
9,EMA-Cross,16/09/2017,19:00,BTC,Long,SL,-0.02,1h,126.59,H1_EMA100
10,EMA-Cross,17/09/2017,16:30,BTC,Long,SL,-0.34,4h,134.83,H1_EMA100
11,EMA-Cross,20/09/2017,14:30,BTC,Long,SL,-1.0,9h,102.0,STRUCTURAL_SL
12,EMA-Cross,23/09/2017,06:30,BTC,Long,SL,-0.49,1h,41.17,H1_EMA100
13,EMA-Cross,25/09/2017,03:30,BTC,Long,TP,6.24,196h,84.25,H1_EMA100
14,EMA-Cross,04/10/2017,08:00,BTC,Long,SL,-1.0,0h,6.55,STRUCTURAL_SL
15,EMA-Cross,05/10/2017,13:30,BTC,Long,TP,15.61,238h,71.18,H1_EMA100
16,EMA-Cross,16/10/2017,01:30,BTC,Long,SL,-1.0,0h,10.49,STRUCTURAL_SL
17,EMA-Cross,17/10/2017,09:30,BTC,Long,SL,-1.0,1h,37.84,STRUCTURAL_SL
18,EMA-Cross,18/10/2017,23:30,BTC,Long,TP,2.11,77h,87.01,H1_EMA100
19,EMA-Cross,23/10/2017,02:00,BTC,Long,SL,-1.0,3h,89.13,STRUCTURAL_SL
20,EMA-Cross,25/10/2017,21:30,BTC,Long,SL,-0.1,1h,165.01,H1_EMA100
21,EMA-Cross,29/10/2017,06:30,BTC,Long,TP,45.47,202h,30.53,H1_EMA100
22,EMA-Cross,08/11/2017,02:30,BTC,Long,SL,-1.0,16h,220.79,STRUCTURAL_SL
23,EMA-Cross,13/11/2017,09:00,BTC,Long,TP,1.92,1h,67.35,H1_EMA100
24,EMA-Cross,18/11/2017,11:00,BTC,Long,TP,1.8,133h,134.59,H1_EMA100
25,EMA-Cross,24/11/2017,09:00,BTC,Long,SL,-1.0,16h,116.89,STRUCTURAL_SL
26,EMA-Cross,25/11/2017,08:00,BTC,Long,TP,11.86,108h,104.09,H1_EMA100
27,EMA-Cross,30/11/2017,05:00,BTC,Long,SL,-1.0,0h,205.51,STRUCTURAL_SL
28,EMA-Cross,01/12/2017,12:30,BTC,Long,TP,7.18,196h,518.38,H1_EMA100
29,EMA-Cross,10/12/2017,16:00,BTC,Long,SL,-0.57,6h,1563.74,H1_EMA100
