trade_id,strategy,date,time,pair,direction,result,rr,duration,sl_size,exit_reason
1,EMA-Cross,28/08/2017,17:30,BTC,Long,TP,1.19,108h,91.22,H1_EMA100
2,EMA-Cross,05/09/2017,14:00,BTC,Long,SL,-0.18,1h,217.23,H1_EMA100
3,EMA-Cross,10/09/2017,20:00,BTC,Long,SL,-0.18,1h,196.91,H1_EMA100
4,EMA-Cross,15/09/2017,16:30,BTC,Long,SL,-1.0,0h,86.95,STRUCTURAL_SL
5,EMA-Cross,17/09/2017,17:00,BTC,Long,TP,0.79,80h,164.99,H1_EMA100
6,EMA-Cross,23/09/2017,06:30,BTC,Long,SL,-0.55,1h,50.43,H1_EMA100
7,EMA-Cross,25/09/2017,03:30,BTC,Long,TP,2.8,95h,92.94,H1_EMA100
8,EMA-Cross,29/09/2017,13:00,BTC,Long,SL,-1.0,0h,66.58,STRUCTURAL_SL
9,EMA-Cross,01/10/2017,20:00,BTC,Long,SL,-1.0,33h,7.0,STRUCTURAL_SL
10,EMA-Cross,04/10/2017,06:30,BTC,Long,SL,-1.0,1h,90.98,STRUCTURAL_SL
11,EMA-Cross,05/10/2017,13:00,BTC,Long,TP,13.13,239h,83.09,H1_EMA100
12,EMA-Cross,16/10/2017,01:30,BTC,Long,SL,-0.69,35h,187.48,H1_EMA100
13,EMA-Cross,19/10/2017,00:00,BTC,Long,SL,-1.0,0h,22.74,STRUCTURAL_SL
14,EMA-Cross,23/10/2017,02:00,BTC,Long,SL,-1.0,1h,60.02,STRUCTURAL_SL
15,EMA-Cross,25/10/2017,22:00,BTC,Long,TP,0.25,1h,118.02,H1_EMA100
16,EMA-Cross,29/10/2017,07:30,BTC,Long,TP,9.65,201h,142.01,H1_EMA100
17,EMA-Cross,08/11/2017,02:30,BTC,Long,SL,-1.0,16h,207.88,STRUCTURAL_SL
18,EMA-Cross,09/11/2017,02:30,BTC,Long,SL,-1.0,6h,245.54,STRUCTURAL_SL
19,EMA-Cross,10/11/2017,05:00,BTC,Long,SL,-1.0,0h,68.26,STRUCTURAL_SL
20,EMA-Cross,13/11/2017,07:30,BTC,Long,TP,0.09,1h,244.27,H1_EMA100
21,EMA-Cross,18/11/2017,13:00,BTC,Long,SL,-1.0,0h,44.0,STRUCTURAL_SL
22,EMA-Cross,18/11/2017,18:30,BTC,Long,TP,1.84,125h,147.02,H1_EMA100
